sample_id,barcode,date
3d7_10000_N8,barcode81,2/20/2024
3d7_1000_N8,barcode82,2/20/2024
3d7_100_N8,barcode83,2/20/2024
Dd2_1000_N8,barcode84,2/20/2024
HB3_1000_N8,barcode85,2/20/2024
NTC_N8,barcode86,2/20/2024
